FIPS,CBSA
06111,37100
01045,37120
17127,37140
21007,37140
21139,37140
21145,37140
32023,37220
12107,37260
48001,37300
12009,37340
48179,37420
48393,37420
12005,37460
05055,37500
47079,37540
48277,37580
54105,37620
54107,37620
20099,37660
04007,37740
48163,37770
48301,37780
48389,37780
19125,37800
12033,37860
12113,37860
17057,37900
17123,37900
17143,37900
17175,37900
17179,37900
17203,37900
18103,37940
34005,37980
34007,37980
34015,37980
42017,37980
42029,37980
42091,37980
42045,37980
42101,37980
10003,37980
24015,37980
34033,37980
04013,38060
04021,38060
28109,38100
46065,38180
46117,38180
05025,38220
05069,38220
05079,38220
37125,38240
20037,38260
42003,38300
42005,38300
42007,38300
42019,38300
42051,38300
42125,38300
42129,38300
25003,38340
48189,38380
55043,38420
36019,38460
18099,38500
16005,38540
16077,38540
39053,38580
54053,38580
40071,38620
72001,38660
72075,38660
72113,38660
72149,38660
17105,38700
29023,38740
29181,38740
35041,38780
53009,38820
23005,38860
23023,38860
23031,38860
41005,38900
41009,38900
41051,38900
41067,38900
41071,38900
53011,38900
53059,38900
48057,38920
12085,38940
12111,38940
39145,39020
42107,39060
36027,39100
36071,39100
04025,39150
49007,39220
41013,39260
25005,39300
44001,39300
44003,39300
44005,39300
44007,39300
44009,39300
49023,39340
49049,39340
08101,39380
53075,39420
12015,39460
17001,39500
29111,39500
55101,39540
37069,39580
37101,39580
37183,39580
46093,39660
46103,39660
48489,39700
42011,39740
06103,39780
06089,39820
27049,39860
32029,39900
32031,39900
16043,39940
16065,39940
18177,39980
51007,40060
51036,40060
51041,40060
51053,40060
51075,40060
51085,40060
51087,40060
51097,40060
51101,40060
51127,40060
51145,40060
51149,40060
51183,40060
51570,40060
51670,40060
51730,40060
51760,40060
21065,40080
21151,40080
48427,40100
06065,40140
06071,40140
56013,40180
51023,40220
51045,40220
51067,40220
51161,40220
51770,40220
51775,40220
37083,40260
37131,40260
17141,40300
27039,40340
27045,40340
27109,40340
27157,40340
36051,40380
36055,40380
36069,40380
36073,40380
36117,40380
36123,40380
17007,40420
17201,40420
37153,40460
48007,40530
56037,40540
37065,40580
37127,40580
29161,40620
13115,40660
41019,40700
35005,40740
35027,40760
05115,40780
05149,40780
22061,40820
50021,40860
06017,40900
06061,40900
06067,40900
06113,40900
04009,40940
26145,40980
27009,41060
27145,41060
49053,41100
20043,41140
29003,41140
29021,41140
29063,41140
17005,41180
17013,41180
17027,41180
17083,41180
17117,41180
17119,41180
17133,41180
17163,41180
29071,41180
29099,41180
29113,41180
29183,41180
29189,41180
29219,41180
29510,41180
13039,41220
42047,41260
39029,41400
41047,41420
41053,41420
20143,41460
20169,41460
06053,41500
10005,41540
24039,41540
24045,41540
24047,41540
49035,41620
49045,41620
48235,41660
48431,41660
48451,41660
48013,41700
48019,41700
48029,41700
48091,41700
48187,41700
48259,41700
48325,41700
48493,41700
06073,41740
16017,41760
39043,41780
37105,41820
06001,41860
06013,41860
06075,41860
06081,41860
06041,41860
72023,41900
72079,41900
72121,41900
72125,41900
06069,41940
06085,41940
72007,41980
72009,41980
72017,41980
72019,41980
72021,41980
72025,41980
72029,41980
72031,41980
72033,41980
72035,41980
72037,41980
72039,41980
72041,41980
72045,41980
72047,41980
72051,41980
72053,41980
72054,41980
72061,41980
72063,41980
72069,41980
72077,41980
72085,41980
72087,41980
72089,41980
72091,41980
72095,41980
72101,41980
72103,41980
72105,41980
72107,41980
72119,41980
72127,41980
72129,41980
72135,41980
72137,41980
72139,41980
72143,41980
72145,41980
72151,41980
06079,42020
06087,42100
35049,42140
72133,42180
06083,42200
06097,42220
26033,42300
13029,42340
13051,42340
13103,42340
42015,42380
31007,42420
31157,42420
31165,42420
01071,42460
18143,42500
42069,42540
42079,42540
42131,42540
05145,42620
53033,42660
53061,42660
53053,42660
